ecosystem,total_packages,valid_spdx,invalid_or_missing,coverage_percent
actions,6,6,0,100.0
adelie,12,4,8,33.33
alpine,467,328,139,70.24
bioconductor,3,3,0,100.0
bower,6,1,5,16.67
carthage,1,1,0,100.0
cocoapods,29,28,1,96.55
conda,2,1,1,50.0
cpan,13,12,1,92.31
cran,1,0,1,0.0
deno,8,0,8,0.0
docker,828,0,828,0.0
go,40,38,2,95.0
hex,2,1,1,50.0
julia,1,1,0,100.0
maven,59,21,38,35.59
npm,98,95,3,96.94
nuget,9,8,1,88.89
openvsx,19,12,7,63.16
packagist,80,80,0,100.0
postmarketos,6,3,3,50.0
puppet,1,1,0,100.0
pypi,31,18,13,58.06
rubygems,398,361,37,90.7
spack,11,0,11,0.0
vcpkg,1,1,0,100.0
